customer_id,first_name,last_name,phone,email,street,city,state,zip_code
1446,Camila,Weber,(111) 881-2813,Camila.Weber@aol.com,741 Rockville Drive ,BulkInsert,TX,42824
1447,Corine,Delacruz,(111) 840-9123,Corine.Delacruz@gmail.com,186 Roehampton Ave. ,BulkInsert,NY,99293
1448,Luciana,Dennis,(111) 743-5482,Luciana.Dennis@hotmail.com,3 Griffin Street ,BulkInsert,CA,36818
1449,Kandis,Figueroa,(111) 486-5307,Kandis.Figueroa@hotmail.com,18 South Constitution Court ,BulkInsert,NY,52810
1450,Sherise,Blanchard,(111) 242-1968,Sherise.Blanchard@google.com,652 Westport Street ,BulkInsert,CA,56895
1451,Trudy,Carter,(111) 850-3922,Trudy.Carter@gmail.com,437 Water Dr. ,BulkInsert,CA,31844
1452,Jewell,Herrera,(111) 774-5143,Jewell.Herrera@aol.com,601 Winchester Dr. ,BulkInsert,NY,64234
1453,Shantel,Whitehead,(111) 114-7464,Shantel.Whitehead@endava.com,9875 Shady Ave. ,BulkInsert,NY,47293
1454,Jeannette,Joyner,(111) 838-2096,Jeannette.Joyner@mail.ru,9004 N. Lake Rd. ,BulkInsert,CA,22011
1455,Ivette,Austin,(111) 781-8880,Ivette.Austin@aol.com,488 East Mill Pond Ave. ,BulkInsert,NY,47472
1456,Parker,Fry,(111) 728-2502,Parker.Fry@aol.com,3 Oklahoma Lane ,BulkInsert,NY,70623
1457,Jovita,Rutledge,(111) 937-4747,Jovita.Rutledge@google.com,735 N. John Dr. ,BulkInsert,NY,4149
1458,Laverne,Schroeder,(111) 346-4348,Laverne.Schroeder@yandex.ru,33 Amerige Street ,BulkInsert,CA,40820
1459,Renay,Hill,(111) 255-8387,Renay.Hill@endava.com,532 South Victoria St. ,BulkInsert,CA,82438
1460,Corene,Wolfe,(111) 723-6642,Corene.Wolfe@endava.com,17 Park Street ,BulkInsert,TX,22255
1461,Krissy,Alvarez,(111) 137-8063,Krissy.Alvarez@yandex.ru,95 Grandrose St. ,BulkInsert,NY,18765
1462,Clarita,Hammond,(111) 138-6673,Clarita.Hammond@yandex.ru,7062 Willow Court ,BulkInsert,NY,32815
1463,Gertha,Johns,(111) 593-2102,Gertha.Johns@mail.ru,929 Elmwood Dr. ,BulkInsert,CA,63039
1464,Elma,Arnold,(111) 642-8653,Elma.Arnold@endava.com,9449 Linda Street ,BulkInsert,CA,17062
1465,Charlesetta,Brown,(111) 408-7084,Charlesetta.Brown@yandex.ru,987 West Leatherwood Dr. ,BulkInsert,CA,41630
1466,Jayme,Cantrell,(111) 266-1247,Jayme.Cantrell@gmail.com,405 Olive St. ,BulkInsert,NY,84024
